customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
2303-PHGND,2020-09-23,Organic,2021-09-23,Premium,Annual,2021-05-15,Not enough content,80.93,2185,96,1,neel,India,Meghalaya,Male,1991-11-30 11:31:26,2025-03-02,N,53.0,1.0
9578-RTBFD,2024-11-25,Organic,2025-11-25,Premium,Annual,2025-04-12,Forgot to cancel trial,33.04,892,77,1,edhitha,India,Nagaland,Female,1970-07-28 11:31:26,2025-09-09,N,78.0,1.0
1995-HMEGW,2023-05-18,Organic,2023-06-17,Premium,Monthly,,,30.8,2310,33,0,bhavika,India,Uttar Pradesh,Female,1967-09-27 11:31:26,2026-03-12,N,81.0,1.0
4508-KSCKL,2023-03-28,Paid,2024-03-27,Basic,Annual,,,7.41,540,20,0,chatura,India,Telangana,Male,1983-11-06 11:31:26,2025-01-29,N,82.0,1.0
8602-KBRJS,2024-10-26,Paid,2025-10-26,Basic,Annual,,,8.41,664,52,0,anthony,India,Delhi,Male,1983-11-12 11:31:26,,,,
4247-DIYJQ,2023-04-09,Refferal,2023-05-09,Basic,Monthly,2024-04-14,Poor streaming quality,9.66,656,99,1,matthew,India,Delhi,Male,1966-03-20 11:31:26,2026-07-26,Y,37.0,1.0
7234-TPVYI,2026-05-19,Refferal,2027-05-19,Basic,Annual,,,9.22,248,16,0,azaan,India,Nagaland,Male,2000-09-29 11:31:26,2026-05-02,Y,34.0,1.0
8955-WIRYS,2024-07-31,Organic,2024-08-30,Basic,Monthly,,,7.75,674,8,0,unni,India,Nagaland,Female,1999-03-10 11:31:26,2025-08-14,Y,25.0,1.0
9854-OAVHV,2021-01-22,Paid,2021-02-21,Standard,Monthly,,,14.7,1308,33,0,vamakshi,India,Delhi,Female,1963-05-25 11:31:26,,,,
4309-QAKFX,2022-06-28,Paid,2022-07-28,Basic,Monthly,,,6.13,153,59,0,banjeet,India,Rajasthan,Male,1962-04-12 11:31:26,,,,
2121-HBANQ,2021-01-05,Paid,2022-01-05,Premium,Annual,,,69.26,4432,52,0,ethan,India,Nagaland,Male,,2025-03-10,N,85.0,1.0
7175-DQXJI,2022-10-29,Paid,2022-11-28,Standard,Monthly,2023-03-09,Switched to competitor,15.8,347,74,1,omaja,Nepal,Kathmandu,Female,1977-01-23 11:31:26,2025-10-31,N,88.0,1.0
4001-ZDKRR,2023-03-31,Paid,2023-04-30,Premium,Monthly,2024-10-13,Not enough content,59.35,4985,86,1,nandini,India,Nagaland,Female,1988-09-16 11:31:26,2025-11-06,N,89.0,1.0
1285-FDZFT,2025-03-13,Refferal,2026-03-13,Premium,Annual,,,20.52,513,6,0,chandran,India,Delhi,Male,1977-10-11 11:31:26,2024-11-12,N,74.0,1.0
0727-FJRNR,2023-02-10,Paid,2023-03-12,Basic,Monthly,,,7.35,507,53,0,hritik,India,Maharashtra,Male,1986-11-07 11:31:26,,,,
0935-UOYYH,2023-01-07,Paid,2024-01-07,Basic,Annual,,,6.52,326,8,0,jhalak,Nepal,Kathmandu,Female,2007-09-03 11:31:26,,,,
8893-HOBHG,2022-12-06,Paid,2023-12-06,Standard,Annual,,,11.04,949,16,0,utkarsh,India,Maharashtra,Male,2007-09-07 11:31:26,2026-02-05,Y,38.0,1.0
5145-YLGUG,2023-02-03,Paid,2023-03-05,Premium,Monthly,2024-08-01,Not enough content,41.79,710,91,1,naksh,India,Delhi,Male,1961-02-18 11:31:26,,,,
5789-OBGCN,2022-10-16,Paid,2022-11-15,Standard,Monthly,,,11.14,746,60,0,joshua,India,Nagaland,Male,1990-01-01 11:31:26,,,,
7711-YHAJH,2024-08-02,Paid,2024-09-01,Standard,Monthly,2025-01-17,Poor streaming quality,12.28,307,72,1,ganga,India,Karnataka,Female,1984-10-10 11:31:26,,,,
3679-OZQTO,2021-01-08,Paid,2021-02-07,Basic,Monthly,,,7.3,321,32,0,vritti,India,Maharashtra,Female,2003-09-27 11:31:26,2026-04-21,N,78.0,2.0
9182-NXQPL,2024-12-01,Refferal,2025-12-01,Standard,Annual,2026-02-20,Forgot to cancel trial,12.71,419,88,1,chanakya,India,Delhi,Male,1978-08-30 11:31:26,,,,
3245-XWADG,2025-04-21,Refferal,2026-04-21,Premium,Annual,,,57.69,1788,28,0,quincy,India,Karnataka,Male,1959-09-29 11:31:26,,,,
3955-SDXXP,2024-01-04,Paid,2024-02-03,Premium,Monthly,,,74.81,6732,61,0,ayushman,India,Maharashtra,Male,1988-07-13 11:31:26,,,,
8345-CXPJQ,2024-06-28,Paid,2024-07-28,Premium,Monthly,2025-08-10,Not enough content,56.11,2076,74,1,nitesh,India,Meghalaya,Male,1965-05-19 11:31:26,2026-05-21,Y,38.0,2.0
1629-JEHMF,2025-08-17,Refferal,2026-08-17,Basic,Annual,,,9.01,756,37,0,udyati,India,Meghalaya,Female,1966-03-17 11:31:26,,,,
0109-MVJHY,2026-03-16,Paid,2026-04-15,Premium,Monthly,,,37.72,1093,64,0,ati,India,Delhi,Female,1983-02-23 11:31:26,2025-11-02,N,54.0,1.0
8307-ILTRB,2021-03-26,Organic,2022-03-26,Standard,Annual,2023-05-20,Too expensive,14.8,592,78,1,patrick,India,Maharashtra,Male,2003-06-15 11:31:26,,,,
7938-VTHFW,2021-11-10,Refferal,2021-12-10,Premium,Monthly,2023-11-09,Poor streaming quality,63.99,5247,91,1,zehaan,Nepal,Kathmandu,Male,1962-09-21 11:31:26,,,,
4916-VWRMQ,2021-12-04,Paid,2022-12-04,Premium,Annual,2023-10-03,Switched to competitor,36.54,2155,92,1,wridesh,India,Meghalaya,Male,1966-10-08 11:31:26,2024-11-08,N,81.0,1.0
3847-AGFWK,2021-04-19,Paid,2022-04-19,Standard,Annual,,,14.81,636,39,0,qarin,India,Rajasthan,Male,1996-05-02 11:31:26,,,,
8782-FQYPI,2023-12-09,Organic,2024-12-08,Standard,Annual,,,11.29,395,56,0,maya,India,Maharashtra,Female,1964-10-13 11:31:26,,,,
3757-HEJKO,2025-06-30,Refferal,2025-07-30,Standard,Monthly,2025-12-01,Switched to competitor,12.37,779,90,1,upadhriti,India,Maharashtra,Female,2003-12-05 11:31:26,2026-08-03,N,55.0,2.0
8875-PDTUF,2024-02-20,Organic,2025-02-19,Premium,Annual,2025-04-26,Forgot to cancel trial,46.23,2311,85,1,agastya,India,Rajasthan,Male,1958-10-15 11:31:26,2025-12-14,N,74.0,1.0
8143-SYTSL,2020-10-20,Organic,2021-10-20,Basic,Annual,,,6.37,490,40,0,kiaan,India,Nagaland,Male,1999-06-18 11:31:26,2025-03-08,N,80.0,1.0
9283-TBMKT,2025-12-08,Paid,2026-12-08,Standard,Annual,,,14.9,1192,38,0,nilima,India,Telangana,Female,1980-09-28 11:31:26,,,,
1334-XLCDA,2020-09-02,Organic,2020-10-02,Premium,Monthly,,,74.16,3856,10,0,parth,India,Nagaland,Male,1966-11-19 11:31:26,2026-05-18,N,67.0,1.0
6088-OEHRU,2021-01-14,Organic,2021-02-13,Standard,Monthly,2023-05-31,Too expensive,14.14,480,85,1,suhani,Nepal,Kathmandu,Female,1975-08-01 11:31:26,2026-08-01,Y,24.0,2.0
1001-QPBQW,2024-12-04,Paid,2025-01-03,Standard,Monthly,2025-05-24,Switched to competitor,14.24,598,78,1,chakradev,India,Nagaland,Male,1994-12-02 11:31:26,2025-01-25,Y,26.0,1.0
6274-IUPHU,2023-03-31,Organic,2023-04-30,Standard,Monthly,2023-07-30,Too expensive,11.98,958,95,1,shaurya,India,Uttar Pradesh,Male,1956-12-04 11:31:26,2024-12-14,N,82.0,1.0
3944-OJKMI,2024-10-14,Paid,2024-11-13,Basic,Monthly,,,8.73,515,14,0,nimrat,India,Nagaland,Female,1981-08-08 11:31:26,2026-03-11,N,72.0,1.0
3502-QWXEJ,2025-09-19,Organic,2026-09-19,Basic,Annual,2026-02-21,Poor streaming quality,8.0,520,71,1,brijesh,Nepal,Kathmandu,Male,2003-11-17 11:31:26,,,,
4145-HBOAS,2021-07-17,Refferal,2021-08-16,Premium,Monthly,,,63.96,2366,58,0,garima,India,Uttar Pradesh,Female,1999-02-28 11:31:26,,,,
1356-KVBQB,2024-07-06,Organic,2024-08-05,Standard,Monthly,,,16.91,270,63,0,arya,India,Nagaland,Female,1958-03-08 11:31:26,,,,
6821-VRBVN,2023-03-09,Organic,2023-04-08,Basic,Monthly,2025-11-02,Forgot to cancel trial,7.23,187,88,1,laban,India,Uttar Pradesh,Male,1974-07-06 11:31:26,,,,
1444-DCSEP,2023-06-06,Organic,2024-06-05,Premium,Annual,,,85.6,2653,22,0,simon,Nepal,Kathmandu,Male,1990-04-15 11:31:26,2025-07-10,Y,14.0,1.0
6782-FEWEH,2021-11-16,Paid,2021-12-16,Basic,Monthly,,,6.14,509,39,0,laban,India,Uttar Pradesh,Male,1989-04-22 11:31:26,2025-08-30,N,68.0,1.0
8253-OTGNF,2023-02-09,Paid,2024-02-09,Premium,Annual,2025-02-27,Switched to competitor,85.59,2995,83,1,pooja,India,Karnataka,Female,1973-05-30 11:31:26,,,,
5516-QCXHM,2024-07-15,Paid,2025-07-15,Premium,Annual,2025-03-26,Forgot to cancel trial,54.18,1517,83,1,meghana,India,Uttar Pradesh,Female,1995-09-17 11:31:26,2025-10-28,N,87.0,1.0
8391-EHPSN,2020-11-24,Organic,2021-11-24,Standard,Annual,,,13.07,431,15,0,mitesh,Nepal,Kathmandu,Male,1986-07-29 11:31:26,,,,
4936-HEWLS,2026-04-19,Paid,2026-05-19,Basic,Monthly,,,8.66,233,27,0,rudra,India,Rajasthan,Male,1970-12-24 11:31:26,2025-01-17,Y,31.0,2.0
6956-PNJRZ,2025-01-18,Paid,2026-01-18,Premium,Annual,,,23.79,475,16,0,jagvi,India,Delhi,Female,1989-10-20 11:31:26,2026-03-02,N,61.0,1.0
4668-IRMGY,2022-07-11,Paid,2023-07-11,Basic,Annual,,,6.63,483,3,0,mohini,India,Karnataka,Female,1964-02-06 11:31:26,,,,
6581-KBLTD,2023-07-01,Refferal,2023-07-31,Premium,Monthly,2023-07-30,Not enough content,74.96,6746,78,1,aarini,India,Rajasthan,Female,1986-09-30 11:31:26,2025-07-01,N,79.0,2.0
8021-LBPJL,2024-09-06,Refferal,2024-10-06,Standard,Monthly,,,11.66,757,18,0,zinal,India,Maharashtra,Female,1972-09-20 11:31:26,2025-08-21,Y,14.0,1.0
7063-XILQX,2021-01-19,Organic,2021-02-18,Standard,Monthly,2022-10-14,Poor streaming quality,14.07,928,70,1,peter,Nepal,Kathmandu,Male,1985-12-26 11:31:26,2026-05-12,N,55.0,1.0
7101-ZUOZQ,2023-02-23,Paid,2024-02-23,Standard,Annual,,,14.0,532,46,0,ansh,India,Maharashtra,Male,1999-02-11 11:31:26,2025-07-23,Y,35.0,1.0
2126-HMUQC,2025-08-05,Paid,2026-08-05,Premium,Annual,,,58.6,3398,24,0,balvan,India,Nagaland,Male,1982-07-05 11:31:26,2025-10-15,Y,37.0,2.0
6390-GAWZQ,2022-04-20,Paid,2023-04-20,Standard,Annual,,,14.74,1031,29,0,turvi,India,Nagaland,Female,2004-03-13 11:31:26,,,,
0383-THTZJ,2020-10-03,Organic,2020-11-02,Basic,Monthly,,,9.93,595,51,0,samaksh,India,Karnataka,Male,1976-04-09 11:31:26,2026-03-29,Y,38.0,2.0
5206-NNFKT,2025-06-03,Organic,2026-06-03,Premium,Annual,,,69.24,4708,65,0,victor,India,Delhi,Male,1972-08-15 11:31:26,2026-06-24,Y,17.0,1.0
8247-ZPTYI,2023-02-24,Paid,2023-03-26,Premium,Monthly,,,32.47,1461,14,0,chanchal,India,Uttar Pradesh,Female,,,,,
3273-IHXFL,2022-01-13,Paid,2023-01-13,Basic,Annual,,,6.63,99,50,0,damyanti,India,Nagaland,Female,1998-01-30 11:31:26,2025-10-25,N,80.0,1.0
1152-UYWNS,2022-11-30,Organic,2022-12-30,Premium,Monthly,,,71.74,4950,53,0,balveer,India,Maharashtra,Male,1962-01-19 11:31:26,2025-04-04,Y,36.0,1.0
1831-SJRDG,2021-11-29,Organic,2022-11-29,Standard,Annual,,,15.13,726,39,0,pallavi,India,Rajasthan,Female,1963-05-02 11:31:26,2026-03-13,Y,26.0,1.0
3621-WOSHS,2023-07-29,Refferal,2024-07-28,Premium,Annual,2025-04-24,Too expensive,65.75,5851,70,1,brinda,India,Uttar Pradesh,Female,1970-07-17 11:31:26,2024-11-12,N,83.0,1.0
2791-ZQPNN,2021-10-02,Organic,2022-10-02,Standard,Annual,2022-06-18,Too expensive,12.85,771,85,1,yashodhara,India,Delhi,Female,1999-12-07 11:31:26,,,,
0199-VVUNF,2022-08-28,Organic,2022-09-27,Basic,Monthly,2024-02-18,Too expensive,6.21,285,77,1,priya,India,Telangana,Female,1986-04-01 11:31:26,,,,
7472-EZGHT,2021-12-30,Paid,2022-12-30,Standard,Annual,,,16.28,390,15,0,falak,India,Delhi,Female,1962-02-23 11:31:26,,,,
7240-CFOFM,2022-02-09,Paid,2022-03-11,Premium,Monthly,,,18.03,1406,43,0,eta,India,Karnataka,Female,1996-05-25 11:31:26,2024-12-25,N,69.0,1.0
8719-GHOIL,2025-01-03,Paid,2026-01-03,Standard,Annual,,,16.54,1372,55,0,faraj,Nepal,Kathmandu,Male,2002-05-26 11:31:26,2025-12-13,N,63.0,2.0
4916-YFRIE,2023-04-22,Paid,2024-04-21,Premium,Annual,2025-01-17,Not enough content,72.48,2391,79,1,xiti,India,Delhi,Female,1970-10-13 11:31:26,2025-10-07,N,78.0,1.0
9228-KKTKZ,2024-07-21,Refferal,2025-07-21,Basic,Annual,,,6.08,522,38,0,vanya,India,Uttar Pradesh,Female,1958-06-08 11:31:26,,,,
3522-QLHBE,2025-08-09,Paid,2026-08-09,Standard,Annual,2026-07-17,Not enough content,14.63,731,87,1,ojasvi,India,Uttar Pradesh,Female,1960-10-24 11:31:26,2025-11-22,Y,14.0,2.0
2486-WPOOL,2023-05-02,Organic,2023-06-01,Premium,Monthly,,,73.42,5286,50,0,bhavna,India,Meghalaya,Female,1982-10-31 11:31:26,,,,
3016-IFJFZ,2025-03-20,Organic,2026-03-20,Standard,Annual,,,16.93,321,64,0,max,India,Maharashtra,Male,1993-07-16 11:31:26,,,,
5358-UMOQT,2022-08-30,Paid,2022-09-29,Standard,Monthly,,,11.43,845,31,0,baghyawati,India,Karnataka,Female,2002-10-03 11:31:26,,,,
2493-QBQIN,2022-06-03,Refferal,2023-06-03,Standard,Annual,2024-04-16,Forgot to cancel trial,13.55,989,90,1,bina,India,Telangana,Female,1992-09-14 11:31:26,,,,
9411-YXSOE,2020-11-07,Organic,2021-11-07,Basic,Annual,2022-05-31,Too expensive,8.62,362,94,1,upkaar,India,Karnataka,Male,1960-03-23 11:31:26,2025-05-17,N,78.0,1.0
6145-AWWFB,2021-01-29,Refferal,2022-01-29,Basic,Annual,,,6.47,355,29,0,mekhala,India,Telangana,Female,1967-11-14 11:31:26,2026-05-14,N,73.0,2.0
6226-UKWJY,2022-11-06,Refferal,2022-12-06,Basic,Monthly,2024-04-13,Too expensive,8.91,775,70,1,zehaan,India,Meghalaya,Male,1964-04-06 11:31:26,2025-10-19,N,52.0,1.0
3437-WRJKE,2023-03-23,Refferal,2024-03-22,Standard,Annual,,,13.41,750,4,0,anvi,India,Delhi,Female,1972-12-24 11:31:26,,,,
5432-AMTDK,2022-06-27,Refferal,2023-06-27,Basic,Annual,,,7.85,557,11,0,girindra,India,Delhi,Male,1958-01-10 11:31:26,,,,
0011-IMXDR,2023-07-09,Organic,2024-07-08,Standard,Annual,,,11.48,321,18,0,vyanjana,India,Karnataka,Female,2007-12-08 11:31:26,2026-07-22,N,71.0,1.0
7571-RNPWT,2021-03-26,Organic,2021-04-25,Basic,Monthly,,,6.05,272,13,0,varenya,India,Delhi,Female,1959-10-04 11:31:26,2026-06-09,N,72.0,1.0
9456-KZLGL,2026-04-15,Paid,2027-04-15,Premium,Annual,,,68.09,1566,53,0,onveer,India,Rajasthan,Male,1973-05-27 11:31:26,2024-10-21,N,58.0,1.0
7494-VDSDJ,2020-11-11,Paid,2020-12-11,Standard,Monthly,2022-11-20,Forgot to cancel trial,15.07,512,88,1,harini,India,Karnataka,Female,2001-12-19 11:31:26,,,,
8602-BNOSZ,2026-05-03,Organic,2027-05-03,Premium,Annual,,,82.36,5435,21,0,urvashi,India,Delhi,Female,1976-12-26 11:31:26,2025-09-08,N,80.0,1.0
2230-SHBSR,2022-09-24,Organic,2023-09-24,Basic,Annual,2025-02-13,Poor streaming quality,9.9,891,76,1,fariq,India,Karnataka,Male,1993-07-03 11:31:26,2026-06-23,Y,40.0,1.0
6577-DTYDL,2022-12-27,Paid,2023-12-27,Premium,Annual,,,40.4,2949,12,0,sara,India,Maharashtra,Female,2003-05-24 11:31:26,2025-11-01,N,52.0,2.0
4185-CMPWR,2021-01-06,Paid,2021-02-05,Basic,Monthly,,,8.65,588,6,0,oviya,India,Nagaland,Female,1964-08-19 11:31:26,,,,
4590-VTXQI,2023-11-05,Refferal,2023-12-05,Premium,Monthly,,,37.92,2919,38,0,champak,India,Rajasthan,Male,1965-10-04 11:31:26,,,,
9267-JNYJP,2022-04-09,Paid,2022-05-09,Premium,Monthly,2024-10-11,Poor streaming quality,79.14,6964,97,1,sanya,India,Karnataka,Female,1967-03-24 11:31:26,,,,
6532-VQURA,2022-07-22,Refferal,2022-08-21,Basic,Monthly,2025-02-04,Switched to competitor,7.37,412,84,1,falan,India,Rajasthan,Male,1993-08-30 11:31:26,,,,
4311-TEOWQ,2025-11-28,Organic,2026-11-28,Standard,Annual,,,15.96,1053,23,0,ekta,India,Delhi,Female,1964-08-29 11:31:26,,,,
3050-TFWMI,2026-03-15,Paid,2026-04-14,Premium,Monthly,2026-04-18,Too expensive,40.21,1045,72,1,nilima,India,Delhi,Female,,,,,
6629-WDIJD,2021-05-18,Refferal,2022-05-18,Standard,Annual,2022-08-24,Too expensive,16.95,728,84,1,shivani,India,Meghalaya,Female,1964-01-23 11:31:26,,,,
3538-DHZWM,2022-06-02,Organic,2022-07-02,Premium,Monthly,,,71.0,3408,30,0,brijesh,India,Nagaland,Male,2003-03-18 11:31:26,2026-03-22,Y,32.0,2.0
4045-UPCXZ,2024-06-28,Paid,2024-07-28,Basic,Monthly,2026-04-07,Poor streaming quality,7.85,612,88,1,eesha,India,Karnataka,Female,1977-02-15 11:31:26,2026-04-18,Y,27.0,2.0
2422-BJYHG,2024-05-08,Paid,2024-06-07,Premium,Monthly,,,42.78,2866,12,0,chakradhar,India,Uttar Pradesh,Male,1968-08-25 11:31:26,,,,
9615-IAPSJ,2023-07-24,Organic,2023-08-23,Standard,Monthly,,,12.08,362,24,0,udyati,India,Karnataka,Female,1971-02-24 11:31:26,2025-04-03,N,80.0,2.0
5624-EIELG,2022-08-08,Refferal,2023-08-08,Premium,Annual,,,91.64,3299,3,0,hredhaan,India,Nagaland,Male,1964-01-02 11:31:26,,,,
8669-AIHUO,2021-09-28,Organic,2021-10-28,Basic,Monthly,,,8.39,310,35,0,xavier,India,Delhi,Male,2001-05-20 11:31:26,2026-08-21,Y,11.0,2.0
5106-YCRPE,2025-06-29,Paid,2025-07-29,Premium,Monthly,2026-01-17,Too expensive,26.72,1202,96,1,neelima,India,Delhi,Female,1986-12-15 11:31:26,,,,
6623-BBZMV,2023-07-23,Paid,2023-08-22,Premium,Monthly,2025-05-24,Too expensive,47.55,3423,94,1,daksha,India,Karnataka,Female,1964-11-05 11:31:26,2026-02-11,N,81.0,2.0
9195-MKMUH,2024-06-11,Refferal,2025-06-11,Standard,Annual,,,11.28,721,15,0,anirudh,India,Maharashtra,Male,1964-09-08 11:31:26,2026-05-23,N,77.0,1.0
8584-WNRBF,2024-01-27,Paid,2024-02-26,Standard,Monthly,2024-12-04,Switched to competitor,13.28,597,91,1,ekaja,India,Nagaland,Female,1963-03-26 11:31:26,,,,
5419-ZZVJV,2021-07-27,Organic,2021-08-26,Premium,Monthly,,,33.36,1634,29,0,ganga,India,Nagaland,Female,1979-11-07 11:31:26,,,,
6813-VJVEU,2024-10-13,Refferal,2025-10-13,Standard,Annual,,,15.74,566,63,0,fitan,India,Telangana,Male,1996-12-24 11:31:26,,,,
6524-HHWGT,2022-12-31,Refferal,2023-12-31,Premium,Annual,,,26.35,658,51,0,anya,India,Nagaland,Female,2006-06-16 11:31:26,,,,
1104-GPLDP,2026-03-19,Organic,2027-03-19,Standard,Annual,,,12.04,264,28,0,kashish,India,Nagaland,Female,1985-03-17 11:31:26,2026-02-21,Y,31.0,2.0
0414-WBGNO,2021-12-25,Refferal,2022-12-25,Basic,Annual,2023-05-02,Switched to competitor,7.47,470,70,1,udarsh,India,Maharashtra,Male,1962-07-13 11:31:26,,,,
6349-TDFQO,2022-06-01,Paid,2023-06-01,Premium,Annual,,,63.94,4667,33,0,jagdish,India,Uttar Pradesh,Male,1991-04-28 11:31:26,,,,
2509-LWFHT,2025-11-01,Refferal,2025-12-01,Premium,Monthly,,,83.98,2603,56,0,vrinda,Nepal,Kathmandu,Female,1989-09-16 11:31:26,,,,
3409-YKKTL,2022-10-02,Refferal,2022-11-01,Standard,Monthly,,,16.23,1201,38,0,indali,India,Rajasthan,Female,1968-08-17 11:31:26,,,,
6688-JHKMO,2023-04-17,Organic,2024-04-16,Premium,Annual,2024-04-18,Not enough content,88.73,7719,94,1,thomas,India,Telangana,Male,1976-03-03 11:31:26,2025-03-14,N,62.0,1.0
5185-MWDYI,2023-07-13,Refferal,2023-08-12,Basic,Monthly,2024-05-31,Too expensive,7.24,390,96,1,sai,Nepal,Kathmandu,Female,1962-07-20 11:31:26,2025-06-23,N,78.0,1.0
2870-HCOXD,2025-05-02,Organic,2025-06-01,Standard,Monthly,,,11.67,315,51,0,faris,India,Telangana,Male,2006-03-28 11:31:26,2026-03-29,N,80.0,2.0
5937-YPEXZ,2020-12-08,Paid,2021-01-07,Standard,Monthly,,,16.95,949,21,0,ladli,Nepal,Kathmandu,Female,1989-11-17 11:31:26,,,,
1361-JZMQP,2025-08-30,Paid,2025-09-29,Standard,Monthly,2026-04-23,Not enough content,14.89,297,78,1,wridesh,Nepal,Kathmandu,Male,1981-10-30 11:31:26,,,,
7505-RIAWY,2024-09-22,Paid,2024-10-22,Standard,Monthly,,,15.81,1059,48,0,charan,India,Meghalaya,Male,1998-11-11 11:31:26,2025-09-02,N,85.0,2.0
1389-UXWXA,2025-01-09,Refferal,2025-02-08,Standard,Monthly,2025-04-06,Too expensive,15.33,1364,90,1,benjamin,India,Nagaland,Male,1990-03-09 11:31:26,,,,
7549-QIRPB,2023-03-22,Refferal,2023-04-21,Standard,Monthly,,,12.91,516,48,0,laban,India,Karnataka,Male,,,,,
9919-SMTPW,2025-06-01,Refferal,2026-06-01,Standard,Annual,,,15.56,684,13,0,ethan,India,Karnataka,Male,1974-06-04 11:31:26,2026-06-17,Y,23.0,2.0
5648-TNRZG,2025-09-21,Organic,2025-10-21,Premium,Monthly,2026-08-03,Not enough content,18.89,434,88,1,varenya,India,Karnataka,Female,1962-02-08 11:31:26,2026-07-02,N,80.0,2.0
3117-FERKW,2023-07-11,Paid,2024-07-10,Standard,Annual,,,11.83,402,28,0,siya,India,Telangana,Female,1998-05-08 11:31:26,2025-02-09,N,61.0,1.0
3013-FAMHF,2022-10-17,Organic,2023-10-17,Premium,Annual,2024-08-24,Poor streaming quality,67.92,3531,74,1,banjeet,India,Meghalaya,Male,2000-05-02 11:31:26,2026-07-02,N,90.0,2.0
5089-RLDDH,2025-03-09,Refferal,2025-04-08,Standard,Monthly,2026-07-24,Not enough content,12.39,1065,80,1,oliver,India,Delhi,Male,1999-03-03 11:31:26,,,,
5424-SXZUO,2020-11-09,Paid,2020-12-09,Standard,Monthly,2023-08-26,Poor streaming quality,15.49,759,72,1,ekantika,Nepal,Kathmandu,Female,1979-01-13 11:31:26,2026-06-22,N,67.0,2.0
3659-QIVMD,2024-12-31,Organic,2025-12-31,Premium,Annual,,,40.16,3293,54,0,ekiya,India,Rajasthan,Female,2004-10-19 11:31:26,,,,
4066-UKVAG,2023-03-21,Paid,2024-03-20,Standard,Annual,,,13.65,996,20,0,wahab,India,Telangana,Male,1998-05-26 11:31:26,2024-08-24,Y,28.0,1.0
0277-DWOJI,2020-09-29,Paid,2021-09-29,Standard,Annual,,,15.53,481,34,0,chaaya,India,Telangana,Female,1992-03-03 11:31:26,2025-01-25,Y,26.0,1.0
3850-CJJCI,2023-10-17,Refferal,2023-11-16,Standard,Monthly,2024-02-24,Forgot to cancel trial,15.57,280,71,1,falguni,India,Maharashtra,Female,1992-03-18 11:31:26,,,,
3694-MBTYY,2023-01-26,Paid,2024-01-26,Premium,Annual,,,59.24,2428,17,0,zarna,India,Telangana,Female,,,,,
0117-JCWNV,2022-01-02,Organic,2023-01-02,Basic,Annual,,,7.02,456,10,0,maanas,India,Maharashtra,Male,1981-12-07 11:31:26,,,,
7399-APQNK,2020-11-29,Organic,2020-12-29,Premium,Monthly,,,84.49,1774,44,0,divya,India,Karnataka,Female,1975-02-17 11:31:26,,,,
9287-XVFAA,2024-04-23,Organic,2024-05-23,Basic,Monthly,,,7.91,363,7,0,ubika,India,Nagaland,Female,1991-07-19 11:31:26,,,,
0004-WQWYY,2020-12-30,Organic,2021-12-30,Standard,Annual,,,13.49,404,22,0,veer,India,Delhi,Male,1989-09-15 11:31:26,2026-04-24,N,63.0,1.0
0497-WYECS,2024-01-26,Refferal,2025-01-25,Premium,Annual,,,20.23,1355,14,0,zaid,India,Meghalaya,Male,2007-03-20 11:31:26,,,,
9449-XRYWS,2024-04-09,Organic,2024-05-09,Basic,Monthly,,,6.17,530,63,0,abhiram,India,Meghalaya,Male,1981-01-31 11:31:26,,,,
3793-STHCJ,2024-10-07,Paid,2025-10-07,Premium,Annual,,,61.51,3198,12,0,kavya,India,Rajasthan,Female,1989-12-29 11:31:26,,,,
8102-RKYCG,2023-02-08,Paid,2023-03-10,Basic,Monthly,,,8.49,297,57,0,mugdha,India,Uttar Pradesh,Female,2005-01-22 11:31:26,,,,
2285-ZUVKV,2022-01-08,Refferal,2023-01-08,Standard,Annual,2024-02-26,Forgot to cancel trial,15.25,991,86,1,qushi,India,Maharashtra,Female,,,,,
6435-FJKTC,2021-09-18,Organic,2021-10-18,Standard,Monthly,,,13.43,362,63,0,turvi,India,Nagaland,Female,2001-12-12 11:31:26,,,,
0385-AHFVR,2023-08-25,Paid,2023-09-24,Premium,Monthly,,,40.77,3669,5,0,brijesh,India,Karnataka,Male,1988-10-05 11:31:26,,,,
0516-MJGMU,2021-01-10,Refferal,2022-01-10,Premium,Annual,,,85.93,2148,18,0,radha,India,Telangana,Female,1988-03-07 11:31:26,,,,
1540-LTGZA,2025-02-27,Paid,2026-02-27,Standard,Annual,2025-12-20,Forgot to cancel trial,14.03,897,95,1,zehaan,India,Uttar Pradesh,Male,1993-07-10 11:31:26,,,,
0798-GDNEL,2023-10-28,Refferal,2023-11-27,Premium,Monthly,2024-12-01,Switched to competitor,73.83,3912,75,1,zehaan,India,Rajasthan,Male,1970-07-29 11:31:26,2025-07-30,N,57.0,2.0
2280-DZPAM,2026-04-12,Paid,2026-05-12,Standard,Monthly,,,11.51,863,28,0,sara,India,Rajasthan,Female,1966-03-24 11:31:26,,,,
3985-XWDEO,2024-12-07,Paid,2025-12-07,Premium,Annual,2026-01-26,Switched to competitor,35.41,2195,71,1,lajita,India,Rajasthan,Female,1999-07-24 11:31:26,,,,
0199-CRPAW,2025-03-03,Refferal,2025-04-02,Premium,Monthly,2025-07-26,Forgot to cancel trial,65.02,2145,97,1,rachana,India,Uttar Pradesh,Female,1973-08-12 11:31:26,,,,
